-10.3952 42.4362
-10.3949 42.4362
-10.3942 42.4361
-10.3909 42.4422
-10.3899 42.4345
-10.3896 42.4281
-10.3889 42.4197
-10.3875 42.4352
-10.387 42.4195
-10.3862 42.4194
-10.3852 42.4193
-10.3851 42.4268
-10.3843 42.4192
-10.3829 42.416
-10.3822 42.4156
-10.3805 42.4091
-10.38 42.4262
-10.3786 42.3932
-10.3785 42.3932
-10.3781 42.3932
-10.378 42.3931
-10.3779 42.4229
-10.3774 42.4152
-10.3765 42.393
-10.3764 42.3929
-10.3762 42.4077
-10.3759 42.3929
-10.3759 42.4227
-10.3757 42.3929
-10.3753 42.4226
-10.3745 42.3927
-10.3745 42.3927
-10.3738 42.385
-10.3732 42.4253
-10.3729 42.4447
-10.3723 42.4223
-10.3722 42.4145
-10.3717 42.438
-10.3716 42.4445
-10.3715 42.3849
-10.3701 42.422
-10.3694 42.4385
-10.3692 42.4219
-10.369 42.4376
-10.3689 42.4176
-10.3686 42.4219
-10.3683 42.4218
-10.3681 42.4365
-10.3672 42.3918
-10.3672 42.4217
-10.3669 42.4217
-10.3668 42.4084
-10.3668 42.439
-10.3667 42.4217
-10.3665 42.4216
-10.3655 42.4215
-10.3646 42.4234
-10.3645 42.4362
-10.3643 42.4214
-10.3643 42.4435
-10.3639 42.3988
-10.3639 42.4213
-10.3636 42.4008
-10.3634 42.4138
-10.3633 42.4138
-10.3633 42.4213
-10.3633 42.4213
-10.3631 42.4167
-10.363 42.4009
-10.3629 42.4131
-10.3627 42.4131
-10.3617 42.4211
-10.3616 42.4007
-10.3616 42.4136
-10.3614 42.4365
-10.3608 42.4015
-10.3588 42.4133
-10.3582 42.4207
-10.358 42.4207
-10.3579 42.4207
-10.3577 42.4206
-10.3577 42.4206
-10.3576 42.4162
-10.3575 42.4123
-10.3575 42.4206
-10.3571 42.3906
-10.3567 42.401
-10.3567 42.4076
-10.3561 42.4121
-10.356 42.413
-10.3555 42.4204
-10.3554 42.4422
-10.3552 42.4277
-10.3538 42.442
-10.3528 42.3828
-10.3519 42.3996
-10.3518 42.42
-10.3517 42.4417
-10.3516 42.4417
-10.3515 42.4126
-10.3514 42.4079
-10.3513 42.4354
-10.351 42.4344
-10.3508 42.4349
-10.3504 42.4415
-10.3496 42.4414
-10.3491 42.4347
-10.3486 42.4353
-10.3483 42.4196
-10.3482 42.3992
-10.3477 42.4211
-10.3476 42.434
-10.3448 42.4027
-10.3429 42.3986
-10.3428 42.4022
-10.3428 42.4189
-10.3415 42.4202
-10.3398 42.4198
